Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
0,Tau <= 0.51,0.4944,0.772552783109405,1.0,1.0,1.0
1,Tau <= 0.25,0.2417,0.8761682242990654,1.0,1.0,1.0
2,Tau <= 0.25,0.2474,0.874251497005988,1.0,1.0,1.0
3,SafetyMargin <= 0.02,0.2528,0.7992733878292462,-1.0,-1.0,-1.0
4,SafetyMargin > 0.08,0.2491,0.8419811320754716,1.0,1.0,1.0
5,Tau > 0.75,0.245,0.83270911360799,-1.0,-1.0,-1.0
6,SafetyMargin > 0.08,0.2459,0.8565965583173997,1.0,1.0,1.0
7,Tau > 0.75,0.2563,0.811554332874828,-1.0,-1.0,-1.0
8,Tau > 0.75,0.2546,0.8404907975460123,-1.0,-1.0,-1.0
9,Tau > 0.51,0.502,0.7144896502498216,-1.0,-1.0,-1.0
10,Tau > 0.75,0.249,0.8440366972477065,-1.0,-1.0,1.0
11,Tau > 0.75,0.2495,0.819047619047619,-1.0,-1.0,1.0
12,SafetyMargin <= 0.02,0.2523,0.7942057942057942,-1.0,-1.0,-1.0
13,Tau <= 0.51,0.4995,0.7987616099071208,1.0,1.0,1.0
14,Tau <= 0.25,0.2498,0.8902743142144638,1.0,1.0,1.0
15,Tau > 0.75,0.2423,0.813778256189451,-1.0,-1.0,-1.0
16,SafetyMargin <= 0.02,0.2487,0.8119800332778702,-1.0,-1.0,-1.0
17,Tau <= 0.25,0.2387,0.8904761904761904,1.0,1.0,1.0
18,SafetyMargin <= 0.02,0.2559,0.8091009988901221,-1.0,-1.0,-1.0
19,Tau > 0.51,0.4933,0.7253433208489388,-1.0,-1.0,1.0
20,Tau <= 0.25,0.2445,0.8935108153078203,1.0,1.0,1.0
21,SafetyMargin > 0.08,0.2499,0.8465227817745803,1.0,1.0,-1.0
22,SafetyMargin > 0.05,0.4992,0.7523197715917203,1.0,1.0,1.0
23,Tau <= 0.25,0.2498,0.8818635607321131,1.0,1.0,1.0
24,SafetyMargin > 0.08,0.2477,0.8662674650698603,1.0,1.0,1.0
25,Tau > 0.75,0.2519,0.8194774346793349,-1.0,-1.0,-1.0
26,Tau <= 0.51,0.5099,0.7770360480640854,1.0,1.0,1.0
27,Tau <= 0.25,0.2513,0.9217391304347826,1.0,1.0,1.0
28,Tau <= 0.25,0.253,0.925764192139738,1.0,1.0,1.0
29,Tau > 0.75,0.2475,0.8326923076923077,-1.0,-1.0,-1.0
30,SafetyMargin > 0.05,0.4937,0.7564102564102564,1.0,1.0,1.0
31,Eta > 0.74,0.255,0.688463911165947,1.0,1.0,1.0
32,SafetyMargin <= 0.02,0.2511,0.7985436893203883,-1.0,-1.0,-1.0
33,Tau > 0.75,0.2556,0.7955112219451371,-1.0,-1.0,-1.0
34,SafetyMargin <= 0.02,0.251,0.7779310344827586,-1.0,-1.0,-1.0
35,Eta > 0.74,0.2485,0.701082431307244,1.0,1.0,1.0
36,Tau > 0.75,0.2555,0.8231511254019293,-1.0,-1.0,-1.0
37,SafetyMargin > 0.05,0.5074,0.7624903920061491,1.0,1.0,1.0
38,Tau > 0.75,0.2484,0.8069883527454242,-1.0,-1.0,1.0
39,Tau > 0.51,0.4978,0.7284287011807448,-1.0,-1.0,1.0
40,Tau <= 0.51,0.4954,0.771117166212534,1.0,1.0,-1.0
41,SafetyMargin <= 0.02,0.2444,0.802441731409545,-1.0,-1.0,-1.0
42,Tau > 0.51,0.4965,0.7114285714285714,-1.0,-1.0,1.0
43,SafetyMargin <= 0.05,0.4937,0.7280118255728012,-1.0,-1.0,-1.0
44,SafetyMargin > 0.08,0.2482,0.854493580599144,1.0,1.0,1.0
45,Tau <= 0.25,0.2509,0.9056603773584906,1.0,1.0,1.0
46,Tau <= 0.25,0.2473,0.9034941763727121,1.0,1.0,1.0
