Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
0,Tau <= 0.51,0.4921,0.7302697302697303,1.0,1.0,1.0
1,SafetyMargin > 0.08,0.2534,0.8668885191347754,1.0,1.0,1.0
2,Tau <= 0.25,0.2465,0.8678414096916299,1.0,1.0,1.0
3,SafetyMargin <= 0.02,0.2486,0.8303693570451436,-1.0,-1.0,-1.0
4,SafetyMargin > 0.08,0.2491,0.8343313373253493,1.0,1.0,1.0
5,Tau > 0.75,0.2503,0.85785536159601,-1.0,-1.0,-1.0
6,SafetyMargin > 0.08,0.2587,0.8446969696969697,1.0,1.0,1.0
7,Tau > 0.75,0.2416,0.8470588235294118,-1.0,-1.0,-1.0
8,Tau > 0.75,0.2466,0.8416075650118203,-1.0,-1.0,-1.0
9,Tau > 0.51,0.499,0.762796504369538,-1.0,-1.0,-1.0
10,Tau > 0.75,0.2462,0.858433734939759,-1.0,-1.0,1.0
11,Tau > 0.75,0.2492,0.8321513002364066,-1.0,-1.0,1.0
12,SafetyMargin <= 0.02,0.2513,0.8203592814371258,-1.0,-1.0,-1.0
13,SafetyMargin > 0.05,0.5064,0.7304347826086957,1.0,1.0,1.0
14,Tau <= 0.25,0.2474,0.8685524126455907,1.0,1.0,1.0
15,SafetyMargin <= 0.02,0.2431,0.8297180043383948,-1.0,-1.0,-1.0
16,SafetyMargin <= 0.02,0.2527,0.8336106489184693,-1.0,-1.0,-1.0
17,Tau <= 0.25,0.2503,0.8877805486284289,1.0,1.0,1.0
18,SafetyMargin <= 0.02,0.2483,0.8302828618968386,-1.0,-1.0,-1.0
19,Tau > 0.51,0.5066,0.7804878048780488,-1.0,-1.0,1.0
20,Tau <= 0.25,0.2486,0.8785046728971962,1.0,1.0,1.0
21,SafetyMargin > 0.08,0.2498,0.8259629101283881,1.0,1.0,-1.0
22,SafetyMargin > 0.05,0.5005,0.7166212534059946,1.0,1.0,1.0
23,Tau <= 0.25,0.2572,0.8681732580037664,1.0,1.0,1.0
24,SafetyMargin > 0.08,0.2509,0.8383233532934131,1.0,1.0,1.0
25,Tau > 0.75,0.2525,0.8348968105065666,-1.0,-1.0,-1.0
26,SafetyMargin > 0.05,0.5011,0.7434325744308231,1.0,1.0,1.0
27,Tau <= 0.25,0.2573,0.8842315369261478,1.0,1.0,1.0
28,Tau <= 0.25,0.2464,0.8444022770398482,1.0,1.0,1.0
29,Tau > 0.75,0.2439,0.848297213622291,-1.0,-1.0,-1.0
30,SafetyMargin > 0.05,0.4994,0.7436182019977803,1.0,1.0,1.0
31,Tau > 0.51,0.5027,0.7410358565737052,-1.0,-1.0,1.0
32,SafetyMargin <= 0.02,0.2566,0.8,-1.0,-1.0,-1.0
33,Tau > 0.75,0.2552,0.8372641509433962,-1.0,-1.0,-1.0
34,SafetyMargin <= 0.02,0.2545,0.8286189683860233,-1.0,-1.0,-1.0
35,Eta > 0.74,0.2455,0.6705882352941176,1.0,1.0,1.0
36,SafetyMargin <= 0.02,0.2505,0.856353591160221,-1.0,-1.0,-1.0
37,SafetyMargin > 0.05,0.5062,0.7302697302697303,1.0,1.0,1.0
38,Tau > 0.75,0.2595,0.8121019108280255,-1.0,-1.0,1.0
39,SafetyMargin <= 0.05,0.5006,0.7327227310574521,-1.0,-1.0,1.0
40,Tau <= 0.51,0.4959,0.7532097004279601,1.0,1.0,-1.0
41,SafetyMargin <= 0.02,0.2512,0.8345864661654135,-1.0,-1.0,-1.0
42,Eta <= 0.25,0.2515,0.7328447701532311,-1.0,-1.0,1.0
43,Tau > 0.51,0.5015,0.751472320376914,-1.0,-1.0,-1.0
44,SafetyMargin > 0.08,0.2502,0.8519134775374376,1.0,1.0,1.0
45,Tau <= 0.25,0.2562,0.8516405135520685,1.0,1.0,1.0
46,Tau <= 0.25,0.2506,0.8553615960099751,1.0,1.0,1.0
47,Tau <= 0.51,0.497,0.7393838467943381,1.0,1.0,1.0
48,SafetyMargin > 0.08,0.2507,0.8317757009345794,1.0,1.0,1.0
49,Tau <= 0.25,0.2497,0.8539325842696629,1.0,1.0,1.0
50,Tau > 0.75,0.2503,0.8173076923076923,-1.0,-1.0,-1.0
51,Tau <= 0.25,0.246,0.8571428571428571,1.0,1.0,-1.0
52,Tau > 0.75,0.2571,0.8329177057356608,-1.0,-1.0,1.0
53,Tau > 0.75,0.2502,0.8349328214971209,-1.0,-1.0,-1.0
54,SafetyMargin <= 0.02,0.2495,0.8522954091816367,-1.0,-1.0,-1.0
55,Eta <= 0.25,0.245,0.7417475728155339,-1.0,-1.0,-1.0
56,Tau > 0.75,0.2479,0.8601398601398601,-1.0,-1.0,-1.0
57,Tau <= 0.25,0.2551,0.8837209302325582,1.0,1.0,1.0
58,Tau > 0.75,0.2455,0.8704318936877077,-1.0,-1.0,-1.0
59,Tau > 0.75,0.2452,0.8453865336658354,-1.0,-1.0,-1.0
60,SafetyMargin > 0.08,0.2561,0.8102710413694721,1.0,1.0,1.0
61,Eta <= 0.25,0.2504,0.7335109926715523,-1.0,-1.0,-1.0
62,SafetyMargin > 0.05,0.4985,0.7413249211356467,1.0,1.0,1.0
63,SafetyMargin <= 0.02,0.2558,0.8074179743223966,-1.0,-1.0,-1.0
64,SafetyMargin > 0.08,0.2402,0.8659058487874465,1.0,1.0,1.0
65,SafetyMargin <= 0.02,0.2414,0.8379578246392897,-1.0,-1.0,-1.0
66,Tau > 0.75,0.2478,0.8352059925093633,-1.0,-1.0,-1.0
67,Tau > 0.75,0.2435,0.8454198473282443,-1.0,-1.0,-1.0
68,Tau > 0.75,0.2483,0.8252184769038702,-1.0,-1.0,-1.0
