Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
0,skewnessEntropy > 0.20,0.2426,0.5287634408602151,-1.0,-1.0,-1.0
1,skewnessEntropy > 0.20,0.2538,0.5260162601626016,-1.0,-1.0,-1.0
2,percentile10Entropy <= 2.62,0.2514,0.5560066432921204,-1.0,-1.0,-1.0
3,percentile25Entropy <= 2.63,0.2479,0.5386263540054755,-1.0,-1.0,-1.0
4,percentile10Entropy <= 2.62,0.2506,0.5598212472069876,-1.0,-1.0,-1.0
5,percentile25Entropy > 2.67,0.2517,0.6339387060158911,1.0,1.0,1.0
6,percentile10Entropy <= 2.62,0.2488,0.5602879424115177,-1.0,-1.0,-1.0
7,percentile25Entropy > 2.66,0.5026,0.5966273690493956,1.0,1.0,1.0
8,percentile25Entropy > 2.66,0.4982,0.6211089494163424,1.0,1.0,1.0
9,percentile10Entropy <= 2.62,0.2452,0.563505702234026,-1.0,-1.0,-1.0
10,percentile10Entropy > 2.64,0.5024,0.614635842169303,1.0,1.0,-1.0
11,percentile10Entropy <= 2.62,0.2484,0.5528617845538615,-1.0,-1.0,-1.0
12,percentile25Entropy > 2.67,0.2555,0.6357967667436489,1.0,1.0,1.0
13,medianEntropy > 2.68,0.4983,0.5978847884788479,1.0,1.0,-1.0
14,percentile25Entropy <= 2.63,0.2494,0.5369468558119839,-1.0,-1.0,-1.0
15,kurtosisEntropy <= -0.36 AND percentile25Entropy <= 2.66,0.1385,0.9524019391802556,-1.0,-1.0,-1.0
16,percentile10Entropy > 2.64,0.488,0.6181842421010532,1.0,1.0,1.0
17,skewnessEntropy <= -0.18,0.2403,0.6073639104903984,1.0,1.0,1.0
18,percentile10Entropy > 2.64,0.4988,0.6102895230160383,1.0,1.0,1.0
19,percentile10Entropy > 2.64,0.4894,0.6148384292131576,1.0,1.0,1.0
20,medianEntropy > 2.69,0.2531,0.6220674486803519,1.0,1.0,1.0
21,skewnessEntropy > 0.20,0.2519,0.5370196813495782,-1.0,-1.0,-1.0
22,percentile10Entropy > 2.66,0.2515,0.637964482912998,1.0,1.0,1.0
23,percentile10Entropy <= 2.62,0.2467,0.5524652338811631,-1.0,-1.0,-1.0
24,percentile10Entropy > 2.66,0.2474,0.6436649729552533,1.0,1.0,1.0
25,percentile25Entropy > 2.67,0.2429,0.6329943113256336,1.0,1.0,1.0
26,percentile10Entropy > 2.64,0.502,0.6186034115138592,1.0,1.0,1.0
27,percentile10Entropy <= 2.62,0.2506,0.5590892663534514,-1.0,-1.0,-1.0
28,percentile10Entropy <= 2.62,0.2403,0.562992125984252,-1.0,-1.0,-1.0
29,percentile10Entropy <= 2.62,0.2515,0.5559386312704706,-1.0,-1.0,-1.0
30,percentile10Entropy > 2.64,0.4998,0.6132135172762941,1.0,1.0,1.0
31,percentile10Entropy > 2.66,0.2504,0.6319389634306761,1.0,1.0,1.0
32,percentile10Entropy > 2.66,0.2503,0.6401082381238725,1.0,1.0,1.0
33,percentile10Entropy <= 2.62,0.2526,0.574468085106383,-1.0,-1.0,-1.0
34,percentile10Entropy > 2.64,0.5074,0.6255707762557078,1.0,1.0,1.0
35,percentile25Entropy > 2.67,0.2487,0.6230874109983335,1.0,1.0,1.0
36,percentile10Entropy > 2.64,0.4937,0.6050298907441765,1.0,1.0,1.0
37,percentile10Entropy > 2.66,0.2532,0.6407341460073962,1.0,1.0,1.0
38,percentile10Entropy > 2.64,0.5085,0.6091753774680604,1.0,1.0,-1.0
39,meanEntropy > 2.69,0.2526,0.6321861180542203,1.0,1.0,1.0
40,percentile10Entropy > 2.66,0.2497,0.6505153053376403,1.0,1.0,1.0
41,percentile10Entropy <= 2.62,0.2545,0.5610761777136378,-1.0,-1.0,1.0
42,percentile10Entropy <= 2.64 AND medianEntropy <= 2.68,0.4647,0.9140419947506562,-1.0,-1.0,-1.0
43,percentile25Entropy > 2.67,0.2511,0.6309217774513405,1.0,1.0,1.0
44,percentile25Entropy > 2.66,0.4974,0.6097388849682428,1.0,1.0,1.0
45,skewnessEntropy > 0.01 AND meanEntropy <= 2.68,0.2686,0.9274465691788526,-1.0,-1.0,-1.0
46,skewnessEntropy <= 0.20,0.7504,0.5702465092225478,1.0,1.0,-1.0
47,percentile10Entropy > 2.64,0.4959,0.6192190030592046,1.0,1.0,1.0
48,medianEntropy > 2.69,0.2555,0.6152279093455564,1.0,1.0,1.0
49,skewnessEntropy > 0.20,0.244,0.5247439041985283,-1.0,-1.0,1.0
50,percentile10Entropy > 2.66,0.2431,0.6380603232794534,1.0,1.0,-1.0
51,percentile25Entropy > 2.67,0.2518,0.6247954917287766,1.0,1.0,1.0
52,percentile10Entropy > 2.64,0.501,0.6161779575328615,1.0,1.0,1.0
53,percentile10Entropy <= 2.64 AND percentile90Entropy <= 2.70,0.2531,0.9725036179450073,-1.0,-1.0,-1.0
54,percentile25Entropy > 2.67,0.2453,0.631380609797876,1.0,1.0,1.0
55,medianEntropy > 2.69,0.2567,0.6303261128302785,1.0,1.0,1.0
56,percentile10Entropy > 2.66,0.2468,0.6360443123480141,1.0,1.0,1.0
57,percentile10Entropy <= 2.62,0.2487,0.5629067245119306,-1.0,-1.0,-1.0
58,percentile10Entropy > 2.64,0.5008,0.6049382716049383,1.0,1.0,1.0
59,percentile10Entropy > 2.64,0.4999,0.6112222091518645,1.0,1.0,-1.0
60,percentile10Entropy > 2.64,0.503,0.6174089068825911,1.0,1.0,1.0
61,percentile10Entropy <= 2.64 AND medianEntropy <= 2.68,0.4665,0.8984179850124896,-1.0,-1.0,-1.0
62,percentile10Entropy > 2.66,0.2507,0.6469327618537369,1.0,1.0,1.0
63,percentile10Entropy > 2.64,0.4969,0.6160714285714286,1.0,1.0,1.0
64,percentile10Entropy > 2.64,0.5019,0.6120386643233744,1.0,1.0,1.0
