Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
0,percentile25Entropy <= 2.66,0.4991,0.6123496824753412,-1.0,-1.0,-1.0
1,skewnessEntropy > 0.20,0.2507,0.6092928112215079,-1.0,-1.0,-1.0
2,percentile10Entropy <= 2.62,0.2433,0.6574746008708273,-1.0,-1.0,-1.0
3,percentile10Entropy <= 2.62,0.2486,0.6763409257898604,-1.0,-1.0,-1.0
4,percentile10Entropy <= 2.62,0.2462,0.6501158556769282,-1.0,-1.0,-1.0
5,medianEntropy > 2.69,0.2457,0.5353132922854038,1.0,1.0,1.0
6,percentile25Entropy <= 2.63,0.2498,0.6394613344215466,-1.0,-1.0,-1.0
7,percentile10Entropy > 2.64,0.5002,0.5267369952710076,1.0,1.0,1.0
8,skewnessEntropy <= 0.20,0.748,0.5034751859529326,1.0,1.0,1.0
9,percentile10Entropy <= 2.62,0.2434,0.6560509554140127,-1.0,-1.0,-1.0
10,percentile90Entropy > 2.73,0.2499,0.5179932260795935,1.0,1.0,-1.0
12,percentile25Entropy > 2.67,0.2594,0.5502487562189055,1.0,1.0,1.0
13,percentile10Entropy <= 2.64,0.5002,0.6218461538461538,-1.0,-1.0,-1.0
14,percentile10Entropy <= 2.62,0.2402,0.65982636148382,-1.0,-1.0,-1.0
15,percentile10Entropy <= 2.64,0.5013,0.615071283095723,-1.0,-1.0,-1.0
16,percentile75Entropy > 2.69,0.5028,0.5013707466537656,1.0,1.0,1.0
17,percentile10Entropy <= 2.64,0.509,0.6118887475004544,-1.0,-1.0,1.0
18,percentile10Entropy > 2.64,0.5035,0.5183905208590471,1.0,1.0,1.0
19,percentile90Entropy > 2.71,0.4931,0.5089001907183726,1.0,1.0,1.0
20,medianEntropy > 2.69,0.2451,0.5330910482019893,1.0,1.0,1.0
21,skewnessEntropy > 0.20,0.2497,0.629374408863667,-1.0,-1.0,-1.0
22,percentile10Entropy > 2.66,0.2574,0.5455080135274224,1.0,1.0,1.0
23,percentile10Entropy <= 2.62,0.2475,0.667906746031746,-1.0,-1.0,-1.0
24,percentile10Entropy > 2.66,0.243,0.5496304883350239,1.0,1.0,1.0
25,percentile10Entropy > 2.66,0.2502,0.5443699579593229,1.0,1.0,1.0
26,percentile75Entropy > 2.71,0.2511,0.5113954418232707,1.0,1.0,1.0
27,percentile10Entropy <= 2.62,0.2575,0.6516656925774401,-1.0,-1.0,-1.0
28,percentile10Entropy <= 2.62,0.253,0.6644207780917192,-1.0,-1.0,-1.0
29,percentile10Entropy <= 2.62,0.254,0.658684026970472,-1.0,-1.0,-1.0
30,percentile25Entropy > 2.66 AND meanEntropy > 2.68,0.4773,0.9260969976905312,1.0,1.0,1.0
31,percentile10Entropy > 2.66,0.2421,0.5477338476374156,1.0,1.0,1.0
32,percentile25Entropy > 2.67,0.2537,0.5416412632605779,1.0,1.0,1.0
33,percentile10Entropy <= 2.62,0.2465,0.6760473297089863,-1.0,-1.0,-1.0
34,percentile10Entropy > 2.66,0.2544,0.5497102601977049,1.0,1.0,1.0
35,percentile25Entropy > 2.67,0.2503,0.5464667121108839,1.0,1.0,1.0
36,percentile10Entropy > 2.64,0.4974,0.5102706227583959,1.0,1.0,1.0
37,percentile10Entropy > 2.66,0.2492,0.5570242331808168,1.0,1.0,1.0
38,percentile75Entropy > 2.71,0.2489,0.5239516490076108,1.0,1.0,-1.0
39,percentile10Entropy > 2.66,0.2528,0.560127211290002,1.0,1.0,1.0
40,skewnessEntropy > 0.20,0.2536,0.6252798089837338,-1.0,-1.0,1.0
41,percentile10Entropy <= 2.62,0.243,0.6753875968992248,-1.0,-1.0,1.0
42,percentile10Entropy <= 2.64,0.4897,0.6134618818068203,-1.0,-1.0,-1.0
43,percentile25Entropy > 2.67,0.2514,0.5476439790575917,1.0,1.0,1.0
44,percentile75Entropy > 2.71,0.2557,0.523168908819133,1.0,1.0,1.0
45,percentile10Entropy <= 2.64,0.4977,0.6224425226745413,-1.0,-1.0,-1.0
46,percentile10Entropy <= 2.64,0.4975,0.6141853315766359,-1.0,-1.0,-1.0
47,percentile10Entropy > 2.64,0.4933,0.5032232600973556,1.0,1.0,1.0
48,medianEntropy > 2.69,0.2457,0.533530042918455,1.0,1.0,1.0
49,skewnessEntropy > 0.20,0.2527,0.6200953428676201,-1.0,-1.0,1.0
50,percentile10Entropy > 2.66,0.2425,0.5515686642870562,1.0,1.0,-1.0
51,meanEntropy > 2.69,0.2517,0.535240464344942,1.0,1.0,1.0
52,skewnessEntropy <= -0.18,0.2492,0.5169300225733634,1.0,1.0,1.0
53,percentile10Entropy <= 2.64,0.4976,0.6096713865882981,-1.0,-1.0,-1.0
54,medianEntropy > 2.69,0.2549,0.5268039995181304,1.0,1.0,1.0
55,percentile25Entropy > 2.67,0.2525,0.5348656018698871,1.0,1.0,1.0
56,percentile10Entropy > 2.66,0.2488,0.5464401879291652,1.0,1.0,1.0
57,percentile10Entropy <= 2.62,0.2564,0.6581321628871007,-1.0,-1.0,-1.0
58,percentile10Entropy > 2.64,0.4907,0.5069975741742863,1.0,1.0,1.0
59,percentile25Entropy <= 2.66,0.495,0.6107574793125398,-1.0,-1.0,-1.0
60,percentile10Entropy > 2.64,0.4958,0.5124148538782685,1.0,1.0,1.0
61,percentile10Entropy <= 2.64,0.5045,0.6160274585882705,-1.0,-1.0,-1.0
62,percentile10Entropy > 2.66,0.2435,0.546975546975547,1.0,1.0,1.0
63,percentile10Entropy > 2.64,0.4965,0.5026518804243009,1.0,1.0,1.0
