Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
0,medianEntropy > 2.69,0.2452,0.9341317365269461,1.0,1.0,1.0
1,medianEntropy <= 2.65,0.2519,0.8171896316507503,-1.0,-1.0,-1.0
2,meanEntropy > 2.66,0.7478,0.6239695624603678,1.0,1.0,1.0
3,medianEntropy > 2.68,0.501,0.8394495412844036,1.0,1.0,1.0
4,medianEntropy > 2.68,0.4965,0.8182883939038686,1.0,1.0,-1.0
5,meanEntropy > 2.68,0.4969,0.8021978021978022,1.0,1.0,1.0
6,meanEntropy > 2.68,0.4938,0.8161838161838162,1.0,1.0,1.0
7,meanEntropy > 2.66,0.7472,0.6083541592288468,1.0,1.0,1.0
8,medianEntropy <= 2.65,0.2546,0.7980049875311721,-1.0,-1.0,-1.0
9,medianEntropy > 2.68,0.4967,0.8290788013318535,1.0,1.0,1.0
10,medianEntropy <= 2.68,0.5181,0.6316916488222698,-1.0,-1.0,1.0
11,medianEntropy <= 2.65,0.2459,0.8302828618968386,-1.0,-1.0,-1.0
12,meanEntropy > 2.69,0.2541,0.8842315369261478,1.0,1.0,1.0
13,medianEntropy <= 2.65,0.2505,0.8084929225645295,-1.0,-1.0,-1.0
14,medianEntropy > 2.69,0.2521,0.8904299583911235,1.0,1.0,1.0
15,meanEntropy <= 2.68,0.5013,0.6123499142367067,-1.0,-1.0,-1.0
16,meanEntropy > 2.69,0.2497,0.9152119700748129,1.0,1.0,-1.0
17,medianEntropy <= 2.65,0.2547,0.84,-1.0,-1.0,-1.0
18,meanEntropy <= 2.68,0.5057,0.6188850967007964,-1.0,-1.0,-1.0
19,meanEntropy > 2.68,0.4981,0.8224195338512763,1.0,1.0,1.0
20,medianEntropy > 2.69,0.2459,0.8870523415977961,1.0,1.0,1.0
21,medianEntropy > 2.69,0.2514,0.9435215946843853,1.0,1.0,1.0
22,medianEntropy > 2.68,0.5161,0.8131241084165478,1.0,1.0,1.0
