Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
0,medianEntropy > 2.69,0.2443,0.7936378466557912,1.0,1.0,1.0
1,medianEntropy <= 2.65,0.2512,0.9276807980049875,-1.0,-1.0,-1.0
2,medianEntropy <= 2.68,0.4881,0.8115789473684211,1.0,1.0,1.0
3,medianEntropy > 2.68,0.5021,0.6590241034685479,1.0,1.0,1.0
4,medianEntropy > 2.68,0.4966,0.6635576282478348,1.0,1.0,-1.0
5,medianEntropy <= 2.68,0.4976,0.8002853067047075,1.0,1.0,1.0
6,medianEntropy > 2.68,0.4991,0.6815144766146993,1.0,1.0,1.0
7,medianEntropy <= 2.68,0.4949,0.8019966722129783,1.0,1.0,1.0
8,medianEntropy <= 2.65,0.2456,0.9429824561403509,-1.0,-1.0,-1.0
9,medianEntropy > 2.68,0.5064,0.6652789342214821,1.0,1.0,1.0
10,meanEntropy <= 2.68,0.5034,0.8284371327849589,-1.0,-1.0,1.0
11,meanEntropy <= 2.66,0.2533,0.9534883720930233,-1.0,-1.0,-1.0
12,meanEntropy > 2.69,0.248,0.7874465049928673,1.0,1.0,1.0
13,meanEntropy <= 2.66,0.2534,0.9647577092511013,-1.0,-1.0,-1.0
14,medianEntropy > 2.69,0.2491,0.8063725490196079,1.0,1.0,1.0
15,meanEntropy <= 2.68,0.509,0.8189349112426035,-1.0,-1.0,-1.0
16,medianEntropy > 2.69,0.2515,0.8039950062421972,1.0,1.0,-1.0
17,medianEntropy <= 2.65,0.2547,0.940149625935162,-1.0,-1.0,-1.0
18,medianEntropy <= 2.68,0.4962,0.8207547169811321,-1.0,-1.0,-1.0
19,medianEntropy > 2.68,0.4869,0.6931124673060157,1.0,1.0,1.0
20,medianEntropy > 2.69,0.2435,0.7774750227066304,1.0,1.0,1.0
21,medianEntropy > 2.69,0.2532,0.781354051054384,1.0,1.0,1.0
22,medianEntropy > 2.68,0.501,0.6671790930053805,1.0,1.0,1.0
23,meanEntropy > 2.68,0.5018,0.6561199000832639,1.0,1.0,1.0
24,meanEntropy > 2.69,0.2547,0.7891566265060241,1.0,1.0,-1.0
25,meanEntropy <= 2.66,0.2528,0.9573170731707317,-1.0,-1.0,-1.0
27,meanEntropy <= 2.66,0.2555,0.9476309226932669,-1.0,-1.0,-1.0
28,meanEntropy > 2.68,0.5038,0.6701195219123506,1.0,1.0,1.0
29,medianEntropy > 2.69,0.2561,0.7874465049928673,1.0,1.0,1.0
30,meanEntropy > 2.69,0.2467,0.7780157030692363,1.0,1.0,1.0
31,medianEntropy <= 2.68,0.5033,0.8043297252289758,-1.0,-1.0,-1.0
32,medianEntropy <= 2.68,0.5034,0.80927291886196,1.0,1.0,-1.0
33,meanEntropy <= 2.68,0.5017,0.8013318534961155,-1.0,-1.0,1.0
34,medianEntropy <= 2.65,0.2537,0.9326683291770573,-1.0,-1.0,-1.0
35,medianEntropy > 2.68,0.5035,0.6709470304975923,1.0,1.0,1.0
36,medianEntropy <= 2.65,0.2578,0.942643391521197,-1.0,-1.0,-1.0
37,medianEntropy > 2.69,0.2522,0.7952559300873908,1.0,1.0,1.0
38,medianEntropy <= 2.65,0.259,0.9534883720930233,-1.0,-1.0,-1.0
39,medianEntropy > 2.69,0.2513,0.7901614142966948,1.0,1.0,1.0
40,meanEntropy <= 2.66,0.2469,0.940149625935162,-1.0,-1.0,-1.0
41,medianEntropy > 2.69,0.2601,0.7952047952047953,1.0,1.0,1.0
42,meanEntropy > 2.69,0.2607,0.7693006357856494,1.0,1.0,1.0
43,meanEntropy > 2.68,0.5022,0.6570226196738559,1.0,1.0,1.0
44,meanEntropy > 2.69,0.2454,0.7913429522752498,1.0,1.0,1.0
45,meanEntropy > 2.69,0.245,0.798753339269813,1.0,1.0,1.0
46,medianEntropy > 2.68,0.4983,0.6550612508059317,1.0,1.0,1.0
47,meanEntropy <= 2.66,0.253,0.9251870324189526,-1.0,-1.0,-1.0
48,medianEntropy > 2.69,0.2599,0.784,1.0,1.0,1.0
49,medianEntropy > 2.68,0.5022,0.6482345103264491,1.0,1.0,1.0
50,meanEntropy <= 2.66,0.2519,0.9534883720930233,-1.0,-1.0,-1.0
51,meanEntropy <= 2.66,0.2557,0.96,-1.0,-1.0,-1.0
52,medianEntropy > 2.68,0.4942,0.6708860759493671,1.0,1.0,1.0
53,medianEntropy <= 2.65,0.2468,0.9751243781094527,-1.0,-1.0,-1.0
54,medianEntropy > 2.69,0.2604,0.7917261055634808,1.0,1.0,1.0
55,medianEntropy <= 2.65,0.2522,0.9376558603491272,-1.0,-1.0,-1.0
56,medianEntropy <= 2.68,0.5038,0.8093567251461988,1.0,1.0,1.0
57,meanEntropy > 2.68,0.4993,0.6502057613168725,1.0,1.0,1.0
58,medianEntropy <= 2.65,0.2493,0.9545454545454546,-1.0,-1.0,-1.0
59,meanEntropy <= 2.66,0.2418,0.9422492401215805,-1.0,-1.0,-1.0
60,medianEntropy > 2.69,0.2483,0.7889160554197229,1.0,1.0,1.0
61,medianEntropy > 2.68,0.5053,0.6627810158201499,1.0,1.0,1.0
62,medianEntropy > 2.68,0.4958,0.6562291805463024,1.0,1.0,1.0
63,meanEntropy > 2.69,0.245,0.8057713651498335,1.0,1.0,1.0
64,meanEntropy <= 2.66,0.2605,0.9301745635910225,-1.0,-1.0,-1.0
65,medianEntropy <= 2.65,0.2457,0.9728506787330317,-1.0,-1.0,-1.0
66,medianEntropy > 2.69,0.2521,0.7740324594257179,1.0,1.0,1.0
67,meanEntropy <= 2.68,0.4935,0.818830242510699,1.0,1.0,1.0
68,medianEntropy > 2.68,0.5039,0.659400544959128,1.0,1.0,1.0
69,medianEntropy <= 2.68,0.4978,0.8099173553719008,-1.0,-1.0,-1.0
70,medianEntropy > 2.68,0.5039,0.6536731634182908,1.0,1.0,1.0
71,medianEntropy <= 2.68,0.504,0.8254716981132075,-1.0,-1.0,-1.0
72,meanEntropy <= 2.68,0.5011,0.7892107892107892,-1.0,-1.0,-1.0
73,medianEntropy <= 2.65,0.2457,0.9368770764119602,-1.0,-1.0,-1.0
74,meanEntropy > 2.68,0.5121,0.6704446381865736,1.0,1.0,-1.0
75,medianEntropy > 2.69,0.2509,0.81169757489301,1.0,1.0,1.0
76,medianEntropy <= 2.68,0.5028,0.8380355276907001,-1.0,-1.0,1.0
77,medianEntropy > 2.68,0.5049,0.6641045349730976,1.0,1.0,1.0
78,medianEntropy <= 2.65,0.2485,0.9292452830188679,-1.0,-1.0,-1.0
79,meanEntropy > 2.69,0.2508,0.7872127872127872,1.0,1.0,1.0
80,medianEntropy > 2.69,0.2508,0.7940074906367042,1.0,1.0,1.0
81,meanEntropy > 2.69,0.2482,0.7950377562028047,1.0,1.0,1.0
82,medianEntropy <= 2.68,0.4955,0.8121720881427072,-1.0,-1.0,1.0
83,medianEntropy > 2.69,0.2587,0.7929910350448248,1.0,1.0,1.0
84,medianEntropy > 2.69,0.2492,0.7991120976692564,1.0,1.0,1.0
85,meanEntropy > 2.68,0.5052,0.6981132075471698,1.0,1.0,1.0
86,medianEntropy > 2.68,0.5023,0.659400544959128,1.0,1.0,-1.0
87,meanEntropy <= 2.68,0.5028,0.8268456375838926,1.0,1.0,1.0
88,meanEntropy <= 2.66,0.2529,0.9276807980049875,-1.0,-1.0,-1.0
89,medianEntropy <= 2.65,0.2499,0.9331742243436754,-1.0,-1.0,-1.0
90,medianEntropy <= 2.68,0.4988,0.8274809160305343,-1.0,-1.0,1.0
91,meanEntropy <= 2.68,0.5027,0.8195754716981132,-1.0,-1.0,-1.0
92,medianEntropy <= 2.65,0.2489,0.9301397205588823,-1.0,-1.0,-1.0
93,medianEntropy > 2.68,0.4966,0.6633366633366633,1.0,1.0,1.0
94,meanEntropy <= 2.68,0.4982,0.8143459915611815,1.0,1.0,-1.0
95,medianEntropy <= 2.68,0.5075,0.7902097902097902,-1.0,-1.0,1.0
96,medianEntropy <= 2.65,0.2483,0.9225967540574282,-1.0,-1.0,-1.0
97,medianEntropy > 2.69,0.2466,0.7890070921985816,1.0,1.0,1.0
98,medianEntropy <= 2.68,0.4979,0.8159771754636234,-1.0,-1.0,1.0
99,medianEntropy <= 2.68,0.5005,0.833095577746077,1.0,1.0,1.0
100,medianEntropy > 2.68,0.5027,0.6634615384615384,1.0,1.0,1.0
101,medianEntropy > 2.69,0.2469,0.7920072661217076,1.0,1.0,1.0
102,meanEntropy <= 2.66,0.2474,0.946843853820598,-1.0,-1.0,-1.0
103,medianEntropy <= 2.68,0.503,0.8159831756046267,-1.0,-1.0,-1.0
104,medianEntropy <= 2.68,0.501,0.7905263157894736,1.0,1.0,1.0
105,meanEntropy > 2.68,0.5005,0.6920877025738799,1.0,1.0,1.0
106,meanEntropy <= 2.66,0.2503,0.9447852760736196,-1.0,-1.0,-1.0
107,meanEntropy <= 2.66,0.2467,0.9569230769230769,-1.0,-1.0,-1.0
108,medianEntropy > 2.69,0.2514,0.7991120976692564,1.0,1.0,-1.0
109,medianEntropy <= 2.68,0.5028,0.7982017982017982,-1.0,-1.0,-1.0
110,medianEntropy > 2.69,0.2457,0.8067092651757188,1.0,1.0,1.0
111,meanEntropy > 2.69,0.2472,0.8042704626334519,1.0,1.0,1.0
112,medianEntropy <= 2.65,0.2522,0.9334442595673876,-1.0,-1.0,-1.0
113,medianEntropy <= 2.68,0.5008,0.8157894736842105,1.0,1.0,1.0
114,medianEntropy > 2.69,0.2435,0.784741144414169,1.0,1.0,-1.0
115,medianEntropy <= 2.65,0.246,0.9201995012468828,-1.0,-1.0,-1.0
116,medianEntropy <= 2.65,0.2479,0.9646017699115044,-1.0,-1.0,-1.0
117,meanEntropy <= 2.68,0.5031,0.8057713651498335,1.0,1.0,1.0
118,medianEntropy > 2.69,0.2519,0.7668609492089925,1.0,1.0,1.0
119,medianEntropy <= 2.68,0.5005,0.8253477588871716,-1.0,-1.0,1.0
120,medianEntropy > 2.69,0.2424,0.7893442622950819,1.0,1.0,1.0
121,medianEntropy > 2.68,0.5065,0.6730906495360457,1.0,1.0,1.0
