Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
0,medianEntropy <= 2.72,0.2461,0.7132867132867133,1.0,1.0,1.0
1,medianEntropy <= 2.72,0.2502,0.7042957042957043,1.0,1.0,1.0
3,medianEntropy <= 2.72,0.2465,0.7057220708446866,1.0,1.0,1.0
4,medianEntropy <= 2.72,0.2529,0.7203107658157603,1.0,1.0,1.0
6,medianEntropy > 2.78,0.2572,0.9501246882793017,-1.0,-1.0,-1.0
7,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4887,0.6465284039675383,1.0,1.0,1.0
9,medianEntropy > 2.78,0.2478,0.9501661129568106,-1.0,-1.0,-1.0
10,medianEntropy > 2.78,0.2498,0.9534883720930233,-1.0,-1.0,-1.0
11,medianEntropy > 2.78,0.2511,0.940149625935162,-1.0,-1.0,-1.0
12,medianEntropy > 2.72,0.744,0.808608762490392,-1.0,-1.0,1.0
13,medianEntropy <= 2.72,0.2509,0.7225305216426193,1.0,1.0,1.0
16,medianEntropy > 2.72,0.7449,0.8083560399636693,-1.0,-1.0,1.0
17,medianEntropy <= 2.72,0.2482,0.7094932191291934,1.0,1.0,1.0
18,medianEntropy <= 2.72,0.252,0.708779443254818,1.0,1.0,-1.0
19,medianEntropy <= 2.72,0.2499,0.7127393838467944,1.0,1.0,1.0
21,medianEntropy <= 2.72,0.244,0.7162837162837162,1.0,1.0,1.0
24,medianEntropy <= 2.72,0.2523,0.6881243063263041,1.0,1.0,1.0
25,medianEntropy > 2.75,0.4927,0.9201995012468828,-1.0,-1.0,-1.0
27,medianEntropy > 2.75,0.4982,0.9201995012468828,-1.0,-1.0,-1.0
28,medianEntropy > 2.72,0.7508,0.8352059925093633,-1.0,-1.0,1.0
30,medianEntropy <= 2.72,0.251,0.7430555555555556,1.0,1.0,1.0
31,medianEntropy <= 2.72,0.2505,0.6925441967717141,1.0,1.0,1.0
32,medianEntropy <= 2.72,0.2547,0.7145631067961165,1.0,1.0,1.0
34,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4947,0.6274256144890039,1.0,1.0,1.0
35,medianEntropy > 2.75,0.4975,0.9044222539229672,-1.0,-1.0,-1.0
38,medianEntropy <= 2.72,0.2536,0.7161198288159771,1.0,1.0,1.0
40,medianEntropy > 2.75,0.4985,0.9315263908701854,-1.0,-1.0,-1.0
42,meanEntropy > 2.75,0.4956,0.9052823315118397,-1.0,-1.0,-1.0
43,medianEntropy <= 2.72,0.259,0.709355131698456,1.0,1.0,1.0
44,meanEntropy > 2.78,0.2453,0.9592476489028213,-1.0,-1.0,-1.0
46,medianEntropy <= 2.72,0.2523,0.7252747252747253,1.0,1.0,1.0
47,meanEntropy > 2.72,0.7413,0.8067740144364242,-1.0,-1.0,1.0
48,medianEntropy <= 2.72,0.2487,0.7271329746348962,1.0,1.0,1.0
49,medianEntropy <= 2.72,0.249,0.7059243397573162,1.0,1.0,1.0
53,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.485,0.6099881093935791,1.0,1.0,1.0
54,medianEntropy > 2.75,0.4951,0.9201995012468828,-1.0,-1.0,-1.0
56,meanEntropy <= 2.72,0.2471,0.7120141342756183,1.0,1.0,1.0
57,medianEntropy <= 2.72,0.252,0.7103620474406991,1.0,1.0,1.0
60,meanEntropy > 2.72,0.7457,0.8001249219237976,-1.0,-1.0,1.0
63,medianEntropy <= 2.72,0.2483,0.7210657785179018,1.0,1.0,1.0
64,meanEntropy > 2.72,0.7521,0.8315926892950392,-1.0,-1.0,1.0
65,medianEntropy > 2.75,0.4939,0.908183632734531,-1.0,-1.0,-1.0
67,medianEntropy > 2.78,0.2526,0.9526184538653366,-1.0,-1.0,-1.0
70,medianEntropy <= 2.72,0.2482,0.7152847152847153,1.0,1.0,1.0
72,medianEntropy > 2.75,0.5038,0.9001663893510815,-1.0,-1.0,-1.0
80,medianEntropy > 2.78,0.2442,0.9451371571072319,-1.0,-1.0,-1.0
