Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
0,medianEntropy <= 2.72,0.245,0.8720770288858322,1.0,1.0,1.0
1,medianEntropy <= 2.72,0.2534,0.8502139800285307,1.0,1.0,1.0
3,medianEntropy <= 2.72,0.2533,0.8764044943820225,1.0,1.0,1.0
4,medianEntropy <= 2.72,0.2526,0.8796992481203008,1.0,1.0,1.0
5,medianEntropy > 2.78,0.246,0.8871866295264624,-1.0,-1.0,-1.0
6,medianEntropy > 2.78,0.2534,0.8838951310861424,-1.0,-1.0,-1.0
7,meanEntropy <= 2.75,0.5041,0.5581727337615988,1.0,1.0,1.0
8,medianEntropy > 2.75,0.4984,0.8334721065778518,-1.0,-1.0,-1.0
9,medianEntropy > 2.78,0.2602,0.9161676646706587,-1.0,-1.0,-1.0
11,medianEntropy > 2.78,0.2483,0.8790233074361821,-1.0,-1.0,-1.0
13,meanEntropy <= 2.72,0.2501,0.8622754491017964,1.0,1.0,1.0
14,medianEntropy > 2.78,0.2463,0.8701622971285893,-1.0,-1.0,-1.0
15,medianEntropy <= 2.75,0.4995,0.558305568776773,1.0,1.0,1.0
16,medianEntropy > 2.72,0.7509,0.6847366397539408,-1.0,-1.0,1.0
17,medianEntropy <= 2.72,0.2489,0.8523274478330658,1.0,1.0,1.0
18,medianEntropy <= 2.72,0.2473,0.8541953232462174,1.0,1.0,-1.0
19,medianEntropy <= 2.72,0.2496,0.8762475049900199,1.0,1.0,1.0
20,medianEntropy > 2.78,0.2503,0.9177057356608479,-1.0,-1.0,-1.0
21,medianEntropy <= 2.72,0.2512,0.8402282453637661,1.0,1.0,1.0
22,medianEntropy <= 2.75,0.4996,0.5734265734265734,1.0,1.0,1.0
23,meanEntropy > 2.75,0.5063,0.8369384359400999,-1.0,-1.0,-1.0
24,medianEntropy <= 2.72,0.2429,0.8628257887517147,1.0,1.0,1.0
25,medianEntropy > 2.75,0.499,0.8357380688124306,-1.0,-1.0,-1.0
28,medianEntropy > 2.72,0.7406,0.6833245660178853,-1.0,-1.0,1.0
29,medianEntropy <= 2.75,0.5034,0.5789813023855577,1.0,1.0,1.0
30,medianEntropy <= 2.72,0.2534,0.8416547788873039,1.0,1.0,1.0
31,medianEntropy <= 2.72,0.2552,0.8469217970049917,1.0,1.0,1.0
32,medianEntropy <= 2.72,0.245,0.8752,1.0,1.0,1.0
33,meanEntropy > 2.72,0.7515,0.680577849117175,-1.0,-1.0,-1.0
34,medianEntropy <= 2.75,0.4905,0.5645295587010825,1.0,1.0,1.0
38,medianEntropy <= 2.72,0.2378,0.8635607321131448,1.0,1.0,1.0
40,medianEntropy > 2.75,0.4906,0.8250336473755047,-1.0,-1.0,-1.0
41,medianEntropy > 2.75,0.497,0.8259705488621151,-1.0,-1.0,1.0
42,meanEntropy > 2.75,0.4991,0.8582834331337326,-1.0,-1.0,-1.0
43,medianEntropy <= 2.72,0.2521,0.8590455049944506,1.0,1.0,1.0
44,medianEntropy > 2.78,0.2495,0.8815977175463623,-1.0,-1.0,-1.0
45,medianEntropy > 2.78,0.2527,0.8885191347753744,-1.0,-1.0,-1.0
46,medianEntropy <= 2.72,0.2451,0.876425855513308,1.0,1.0,1.0
47,medianEntropy > 2.72,0.7495,0.6933333333333334,-1.0,-1.0,1.0
48,medianEntropy <= 2.72,0.2485,0.8600973236009732,1.0,1.0,1.0
49,medianEntropy <= 2.72,0.2593,0.853496115427303,1.0,1.0,1.0
50,medianEntropy > 2.75,0.4944,0.8273894436519258,-1.0,-1.0,-1.0
51,medianEntropy > 2.78,0.2478,0.8787446504992867,-1.0,-1.0,-1.0
52,medianEntropy > 2.75,0.503,0.8459343794579173,-1.0,-1.0,-1.0
53,medianEntropy <= 2.75,0.4948,0.5662168915542228,1.0,1.0,1.0
54,medianEntropy > 2.75,0.4949,0.8488063660477454,-1.0,-1.0,-1.0
55,meanEntropy > 2.72,0.7561,0.6818390804597702,-1.0,-1.0,-1.0
56,medianEntropy <= 2.72,0.2481,0.8857142857142857,1.0,1.0,1.0
57,medianEntropy <= 2.72,0.2586,0.8773841961852861,1.0,1.0,1.0
61,medianEntropy > 2.75,0.4888,0.8416547788873039,-1.0,-1.0,1.0
62,medianEntropy > 2.75,0.509,0.8473609129814551,-1.0,-1.0,-1.0
63,medianEntropy <= 2.72,0.2518,0.8669410150891632,1.0,1.0,1.0
64,medianEntropy > 2.72,0.7459,0.6898395721925134,-1.0,-1.0,1.0
65,medianEntropy > 2.75,0.4975,0.8314606741573034,-1.0,-1.0,-1.0
66,medianEntropy > 2.78,0.2543,0.9018302828618968,-1.0,-1.0,-1.0
67,medianEntropy > 2.78,0.2594,0.8922829581993569,-1.0,-1.0,-1.0
69,medianEntropy > 2.75,0.5053,0.8571428571428571,-1.0,-1.0,-1.0
70,medianEntropy <= 2.72,0.252,0.844311377245509,1.0,1.0,1.0
71,meanEntropy <= 2.75,0.5067,0.584014532243415,1.0,1.0,1.0
72,medianEntropy > 2.75,0.4968,0.8352059925093633,-1.0,-1.0,-1.0
74,medianEntropy > 2.78,0.2511,0.9029957203994294,-1.0,-1.0,-1.0
75,medianEntropy > 2.78,0.2564,0.8958630527817404,-1.0,-1.0,-1.0
76,medianEntropy <= 2.75,0.5005,0.560077519379845,1.0,1.0,1.0
77,medianEntropy > 2.78,0.2469,0.898854961832061,-1.0,-1.0,-1.0
79,medianEntropy <= 2.75,0.4989,0.569683509161577,1.0,1.0,1.0
83,medianEntropy <= 2.75,0.4985,0.5549577248270561,1.0,1.0,1.0
84,meanEntropy > 2.75,0.4999,0.8201997780244173,-1.0,-1.0,-1.0
85,medianEntropy <= 2.72,0.2529,0.8469217970049917,1.0,1.0,1.0
87,medianEntropy <= 2.75,0.5031,0.5673807878369039,1.0,1.0,-1.0
89,medianEntropy > 2.75,0.4964,0.8377028714107366,-1.0,-1.0,-1.0
90,medianEntropy <= 2.72,0.2596,0.8474114441416893,1.0,1.0,1.0
91,medianEntropy <= 2.72,0.2486,0.8546059933407325,1.0,1.0,1.0
92,medianEntropy > 2.75,0.5085,0.8388017118402282,-1.0,-1.0,-1.0
93,meanEntropy > 2.72,0.739,0.6916167664670658,-1.0,-1.0,1.0
94,meanEntropy > 2.78,0.2542,0.9021956087824351,-1.0,-1.0,-1.0
95,medianEntropy <= 2.72,0.2482,0.8515497553017944,1.0,1.0,1.0
96,medianEntropy > 2.78,0.2538,0.907051282051282,-1.0,-1.0,-1.0
97,medianEntropy > 2.78,0.2491,0.8933518005540166,-1.0,-1.0,-1.0
98,medianEntropy > 2.75,0.5027,0.8388814913448736,-1.0,-1.0,-1.0
99,medianEntropy <= 2.75,0.5048,0.5668286755771568,1.0,1.0,-1.0
100,medianEntropy <= 2.72,0.2498,0.8539325842696629,1.0,1.0,1.0
101,medianEntropy > 2.78,0.2537,0.9077306733167082,-1.0,-1.0,-1.0
102,medianEntropy <= 2.72,0.2496,0.8509575353871773,1.0,1.0,1.0
103,medianEntropy <= 2.72,0.2461,0.8740458015267175,1.0,1.0,1.0
104,meanEntropy > 2.72,0.7534,0.6731334509112287,-1.0,-1.0,-1.0
105,medianEntropy <= 2.75,0.499,0.5534465534465535,1.0,1.0,1.0
106,meanEntropy <= 2.72,0.2496,0.8171828171828172,1.0,1.0,1.0
107,medianEntropy <= 2.72,0.254,0.8635634028892456,1.0,1.0,1.0
109,medianEntropy <= 2.72,0.248,0.8888888888888888,1.0,1.0,1.0
110,medianEntropy <= 2.72,0.253,0.8718801996672213,1.0,1.0,1.0
111,medianEntropy <= 2.72,0.2568,0.8514357053682896,1.0,1.0,1.0
112,meanEntropy > 2.72,0.7607,0.6966516741629185,-1.0,-1.0,-1.0
113,medianEntropy > 2.78,0.2454,0.9041916167664671,-1.0,-1.0,-1.0
114,medianEntropy <= 2.72,0.252,0.8601553829078802,1.0,1.0,1.0
115,medianEntropy <= 2.72,0.2471,0.8698412698412699,1.0,1.0,1.0
116,meanEntropy > 2.78,0.2486,0.8944365192582026,-1.0,-1.0,-1.0
117,medianEntropy > 2.75,0.4981,0.832408435072142,-1.0,-1.0,-1.0
118,medianEntropy > 2.75,0.5001,0.8374851720047449,-1.0,-1.0,-1.0
119,medianEntropy > 2.78,0.2445,0.9280575539568345,-1.0,-1.0,-1.0
120,medianEntropy <= 2.75,0.5032,0.5695203400121432,1.0,1.0,-1.0
121,medianEntropy <= 2.75,0.496,0.5664873174481169,1.0,1.0,1.0
122,medianEntropy <= 2.72,0.2515,0.8585690515806988,1.0,1.0,1.0
123,medianEntropy <= 2.72,0.2454,0.8593314763231198,1.0,1.0,1.0
124,meanEntropy > 2.72,0.7414,0.6721311475409836,-1.0,-1.0,-1.0
126,medianEntropy > 2.75,0.5048,0.8662674650698603,-1.0,-1.0,-1.0
127,medianEntropy <= 2.75,0.5061,0.5603382013835511,1.0,1.0,1.0
128,medianEntropy > 2.78,0.251,0.9087018544935807,-1.0,-1.0,-1.0
129,medianEntropy <= 2.72,0.2478,0.8587731811697575,1.0,1.0,1.0
130,meanEntropy <= 2.72,0.2555,0.8289637952559301,1.0,1.0,1.0
133,medianEntropy <= 2.72,0.2464,0.8673323823109843,1.0,1.0,1.0
134,medianEntropy > 2.75,0.5038,0.8339575530586767,-1.0,-1.0,1.0
135,medianEntropy > 2.75,0.4994,0.8514357053682896,-1.0,-1.0,1.0
136,medianEntropy <= 2.72,0.2448,0.8502139800285307,1.0,1.0,1.0
137,medianEntropy > 2.78,0.2468,0.9021956087824351,-1.0,-1.0,-1.0
138,medianEntropy <= 2.72,0.2461,0.8457269700332963,1.0,1.0,1.0
