Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
0,medianEntropy > 2.75,0.5077,0.9334442595673876,-1.0,-1.0,-1.0
2,medianEntropy > 2.72,0.7532,0.7907113462669019,-1.0,-1.0,1.0
3,medianEntropy > 2.75,0.5003,0.9526184538653366,-1.0,-1.0,1.0
4,medianEntropy <= 2.72,0.2597,0.6267166042446941,1.0,1.0,1.0
5,medianEntropy <= 2.72,0.252,0.6195121951219512,1.0,1.0,-1.0
7,medianEntropy > 2.78,0.2499,1.0,-1.0,-1.0,-1.0
9,medianEntropy > 2.75,0.5107,0.9451371571072319,-1.0,-1.0,-1.0
10,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4962,0.6278884462151394,1.0,1.0,1.0
11,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4921,0.6467143786597267,1.0,1.0,1.0
12,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4893,0.6186895810955961,1.0,1.0,1.0
18,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4802,0.6550632911392406,1.0,1.0,1.0
19,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4776,0.6419213973799127,1.0,1.0,1.0
20,medianEntropy > 2.78,0.26,1.0,-1.0,-1.0,-1.0
22,medianEntropy <= 2.72,0.252,0.611837048424289,1.0,1.0,1.0
23,medianEntropy > 2.78,0.257,1.0,-1.0,-1.0,-1.0
26,medianEntropy > 2.75,0.504,0.9451371571072319,-1.0,-1.0,1.0
27,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.486,0.6278625954198473,1.0,1.0,1.0
28,medianEntropy > 2.78,0.2488,1.0,-1.0,-1.0,-1.0
29,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4952,0.6444249341527656,1.0,1.0,1.0
30,medianEntropy <= 2.72,0.2501,0.6374018558172734,1.0,1.0,1.0
32,medianEntropy <= 2.72,0.2527,0.6388294075660242,1.0,1.0,-1.0
36,medianEntropy <= 2.72,0.2531,0.6603396603396603,1.0,1.0,1.0
41,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4906,0.6206896551724138,1.0,1.0,1.0
42,medianEntropy <= 2.72,0.2493,0.633358954650269,1.0,1.0,1.0
43,medianEntropy > 2.78,0.2506,1.0,-1.0,-1.0,-1.0
44,medianEntropy <= 2.72,0.2397,0.6276747503566333,1.0,1.0,-1.0
46,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4873,0.6428049671292915,1.0,1.0,1.0
47,meanEntropy > 2.72,0.7469,0.7666166916541729,-1.0,-1.0,1.0
49,medianEntropy > 2.72,0.7534,0.7909300538047656,-1.0,-1.0,-1.0
50,medianEntropy > 2.78,0.2429,1.0,-1.0,-1.0,-1.0
51,medianEntropy > 2.78,0.2462,1.0,-1.0,-1.0,-1.0
53,medianEntropy > 2.75,0.5023,0.9326683291770573,-1.0,-1.0,1.0
54,iqrsEntropy > 0.04,0.2436,0.7785179017485429,-1.0,-1.0,-1.0
55,medianEntropy > 2.78,0.2483,1.0,-1.0,-1.0,-1.0
56,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4884,0.6222222222222222,1.0,1.0,1.0
57,medianEntropy <= 2.72,0.2559,0.613506916192026,1.0,1.0,-1.0
58,medianEntropy <= 2.72,0.2486,0.6514983351831298,1.0,1.0,1.0
61,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4814,0.6335877862595419,1.0,1.0,1.0
62,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4939,0.6564822460776218,1.0,1.0,-1.0
64,medianEntropy > 2.78,0.2478,1.0,-1.0,-1.0,-1.0
66,medianEntropy > 2.78,0.2421,1.0,-1.0,-1.0,-1.0
67,medianEntropy > 2.78,0.2482,1.0,-1.0,-1.0,-1.0
71,medianEntropy > 2.78,0.2454,1.0,-1.0,-1.0,-1.0
72,medianEntropy <= 2.72,0.2512,0.6217228464419475,1.0,1.0,-1.0
73,medianEntropy <= 2.72,0.2462,0.6204217536071032,1.0,1.0,1.0
75,medianEntropy > 2.78,0.2462,1.0,-1.0,-1.0,-1.0
78,meanEntropy > 2.78,0.253,0.9950248756218906,-1.0,-1.0,-1.0
79,medianEntropy > 2.78,0.2473,1.0,-1.0,-1.0,-1.0
83,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4829,0.6445578231292517,1.0,1.0,-1.0
84,medianEntropy > 2.75,0.5007,0.9368770764119602,-1.0,-1.0,1.0
85,medianEntropy > 2.75,0.5033,0.9603174603174603,-1.0,-1.0,-1.0
87,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4849,0.6399055489964581,1.0,1.0,1.0
90,meanEntropy > 2.72,0.7524,0.7639391745112237,-1.0,-1.0,1.0
92,iqrsEntropy > 0.04,0.2514,0.7939262472885033,-1.0,-1.0,-1.0
93,meanEntropy > 2.75,0.5037,0.93812375249501,-1.0,-1.0,-1.0
94,medianEntropy <= 2.72,0.2451,0.6360239162929746,1.0,1.0,1.0
95,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4816,0.6515723270440251,1.0,1.0,1.0
99,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4838,0.6499595796281326,1.0,1.0,-1.0
101,medianEntropy > 2.78,0.2576,1.0,-1.0,-1.0,-1.0
103,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4792,0.6506410256410257,1.0,1.0,1.0
107,medianEntropy <= 2.72,0.2511,0.6133743274404304,1.0,1.0,1.0
108,medianEntropy <= 2.72,0.2454,0.6092384519350812,1.0,1.0,1.0
110,medianEntropy > 2.72,0.7446,0.7732772225144661,-1.0,-1.0,-1.0
111,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4885,0.6523197316936836,1.0,1.0,1.0
112,medianEntropy <= 2.72,0.2552,0.6309127248501,1.0,1.0,-1.0
113,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4911,0.638996138996139,1.0,1.0,1.0
115,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4886,0.6290322580645161,1.0,1.0,1.0
118,meanEntropy > 2.72,0.7517,0.7701767870868562,-1.0,-1.0,1.0
122,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4904,0.6389891696750902,1.0,1.0,1.0
125,medianEntropy <= 2.72,0.2373,0.6195234435049961,1.0,1.0,1.0
126,medianEntropy <= 2.72,0.2486,0.6164488854727133,1.0,1.0,-1.0
127,medianEntropy <= 2.72,0.2428,0.662125340599455,1.0,1.0,1.0
128,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4901,0.6746268656716418,1.0,1.0,1.0
131,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4854,0.6381381381381381,1.0,1.0,1.0
132,meanEntropy > 2.72,0.7489,0.7566024268379729,-1.0,-1.0,-1.0
133,iqrsEntropy > 0.04,0.2518,0.7841439040639574,-1.0,-1.0,-1.0
134,medianEntropy <= 2.72,0.2433,0.6276747503566333,1.0,1.0,1.0
135,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4802,0.6502914238134888,1.0,1.0,1.0
137,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4874,0.6297262059973925,1.0,1.0,1.0
138,meanEntropy <= 2.72,0.2638,0.6149233844103931,1.0,1.0,1.0
139,medianEntropy <= 2.72,0.2513,0.6271036315323295,1.0,1.0,-1.0
140,medianEntropy > 2.72,0.7507,0.7787294789436117,-1.0,-1.0,-1.0
142,medianEntropy > 2.75,0.5111,0.9334442595673876,-1.0,-1.0,-1.0
143,medianEntropy > 2.75,0.5013,0.9376558603491272,-1.0,-1.0,1.0
144,medianEntropy > 2.75,0.5011,0.9181636726546906,-1.0,-1.0,-1.0
145,medianEntropy <= 2.72,0.2544,0.6169220519653564,1.0,1.0,-1.0
146,medianEntropy > 2.75,0.4991,0.9501661129568106,-1.0,-1.0,-1.0
147,medianEntropy > 2.72,0.745,0.7802746566791511,-1.0,-1.0,1.0
148,medianEntropy > 2.72,0.7551,0.7712264150943396,-1.0,-1.0,-1.0
150,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4894,0.6369747899159663,1.0,1.0,-1.0
153,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.484,0.6468039003250271,1.0,1.0,1.0
154,meanEntropy > 2.75,0.4982,0.9369627507163324,-1.0,-1.0,-1.0
157,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4865,0.6377142857142857,1.0,1.0,1.0
159,iqrsEntropy > 0.04,0.2552,0.7766019988242211,-1.0,-1.0,-1.0
160,meanEntropy > 2.72,0.7516,0.7662409772348695,-1.0,-1.0,1.0
162,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4877,0.6291946308724832,1.0,1.0,1.0
163,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.485,0.6504854368932039,1.0,1.0,1.0
165,medianEntropy <= 2.72,0.2413,0.6354716981132076,1.0,1.0,1.0
167,meanEntropy > 2.75,0.4975,0.936127744510978,-1.0,-1.0,1.0
168,medianEntropy <= 2.72,0.2544,0.6209193870752832,1.0,1.0,-1.0
169,medianEntropy <= 2.72,0.2513,0.6130790190735694,1.0,1.0,1.0
172,medianEntropy <= 2.72,0.246,0.6153846153846154,1.0,1.0,-1.0
173,medianEntropy <= 2.72,0.254,0.6403995560488346,1.0,1.0,1.0
176,medianEntropy <= 2.72,0.2487,0.6392156862745098,1.0,1.0,1.0
177,medianEntropy > 2.78,0.2473,1.0,-1.0,-1.0,-1.0
178,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4968,0.6311728395061729,1.0,1.0,1.0
182,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4876,0.6342756183745583,1.0,1.0,1.0
183,medianEntropy <= 2.72,0.2472,0.6419650291423813,1.0,1.0,1.0
185,medianEntropy <= 2.72,0.2495,0.6071209330877839,1.0,1.0,1.0
188,medianEntropy <= 2.72,0.2483,0.6239782016348774,1.0,1.0,-1.0
189,medianEntropy > 2.72,0.7548,0.783260462211118,-1.0,-1.0,-1.0
190,medianEntropy <= 2.72,0.244,0.6275816122584943,1.0,1.0,1.0
191,medianEntropy > 2.78,0.2485,1.0,-1.0,-1.0,-1.0
192,medianEntropy > 2.72,0.7482,0.7808127914723517,-1.0,-1.0,-1.0
193,medianEntropy > 2.78,0.2509,1.0,-1.0,-1.0,-1.0
195,medianEntropy > 2.78,0.2486,1.0,-1.0,-1.0,-1.0
196,medianEntropy <= 2.72,0.2497,0.6213786213786214,1.0,1.0,1.0
197,medianEntropy <= 2.72,0.2587,0.6278101582014988,1.0,1.0,-1.0
198,stdsEntropy > 0.03,0.2537,0.7602179836512262,-1.0,-1.0,-1.0
199,medianEntropy <= 2.72,0.2503,0.6256742179072277,1.0,1.0,1.0
200,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4904,0.6348314606741573,1.0,1.0,1.0
201,medianEntropy > 2.78,0.2541,1.0,-1.0,-1.0,-1.0
203,medianEntropy <= 2.72,0.2505,0.6316187594553706,1.0,1.0,1.0
204,iqrsEntropy > 0.03,0.4886,0.7369805365597054,-1.0,-1.0,-1.0
206,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4875,0.6339677891654466,1.0,1.0,1.0
209,medianEntropy > 2.78,0.2526,1.0,-1.0,-1.0,-1.0
212,meanEntropy > 2.75,0.5108,0.8987161198288159,-1.0,-1.0,1.0
214,medianEntropy > 2.75,0.496,0.9855072463768116,-1.0,-1.0,-1.0
219,meanEntropy > 2.75,0.4975,0.9631147540983607,-1.0,-1.0,-1.0
221,medianEntropy > 2.78,0.2533,1.0,-1.0,-1.0,-1.0
227,medianEntropy > 2.78,0.2475,1.0,-1.0,-1.0,-1.0
228,medianEntropy <= 2.72,0.2596,0.6457765667574932,1.0,1.0,1.0
232,medianEntropy <= 2.72,0.2525,0.6252676659528907,1.0,1.0,1.0
233,medianEntropy <= 2.72,0.2474,0.6174698795180723,1.0,1.0,-1.0
234,iqrsEntropy > 0.04,0.2454,0.760159893404397,-1.0,-1.0,-1.0
235,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4892,0.65814696485623,1.0,1.0,1.0
240,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4942,0.6558988764044944,1.0,1.0,1.0
247,medianEntropy > 2.78,0.2452,1.0,-1.0,-1.0,-1.0
248,medianEntropy <= 2.72,0.2615,0.6241509433962265,1.0,1.0,1.0
249,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4838,0.6289262235208181,1.0,1.0,1.0
250,medianEntropy <= 2.72,0.2539,0.6290035587188612,1.0,1.0,-1.0
251,medianEntropy > 2.75,0.4964,0.9441117764471058,-1.0,-1.0,-1.0
253,iqrsEntropy > 0.04,0.2459,0.7574931880108992,-1.0,-1.0,-1.0
255,medianEntropy <= 2.72,0.2558,0.6469608659450458,1.0,1.0,1.0
256,medianEntropy > 2.72,0.7525,0.781706379707917,-1.0,-1.0,-1.0
257,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4901,0.6155129274395329,1.0,1.0,1.0
261,medianEntropy > 2.75,0.4982,0.9651741293532339,-1.0,-1.0,-1.0
262,medianEntropy > 2.75,0.5053,0.942643391521197,-1.0,-1.0,-1.0
263,meanEntropy <= 2.72,0.2465,0.6206322795341098,1.0,1.0,-1.0
265,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4854,0.6193939393939394,1.0,1.0,1.0
266,meanEntropy > 2.75,0.5062,0.9317803660565723,-1.0,-1.0,-1.0
268,medianEntropy <= 2.72,0.2477,0.6110684089162183,1.0,1.0,-1.0
270,meanEntropy > 2.75,0.5015,0.956140350877193,-1.0,-1.0,-1.0
271,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4886,0.6235595390524968,1.0,1.0,1.0
273,medianEntropy <= 2.72,0.2491,0.6466916354556804,1.0,1.0,1.0
276,medianEntropy <= 2.72,0.2481,0.6221616712079927,1.0,1.0,-1.0
278,medianEntropy <= 2.72,0.2529,0.6012715712988193,1.0,1.0,1.0
279,medianEntropy <= 2.72,0.2522,0.6223776223776224,1.0,1.0,1.0
281,meanEntropy <= 2.72,0.2541,0.6358525921299188,1.0,1.0,-1.0
282,medianEntropy <= 2.72,0.2515,0.6162624821683309,1.0,1.0,1.0
284,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4889,0.6270053475935828,1.0,1.0,1.0
285,meanEntropy > 2.75,0.4983,0.9251870324189526,-1.0,-1.0,-1.0
287,iqrsEntropy > 0.04,0.2506,0.7724827056110684,-1.0,-1.0,-1.0
296,medianEntropy > 2.78,0.2493,1.0,-1.0,-1.0,-1.0
298,medianEntropy <= 2.72,0.2539,0.6328059950041632,1.0,1.0,1.0
300,medianEntropy > 2.75,0.4989,0.9476309226932669,-1.0,-1.0,-1.0
301,medianEntropy <= 2.72,0.2458,0.630308076602831,1.0,1.0,-1.0
302,medianEntropy <= 2.72,0.2481,0.6378600823045267,1.0,1.0,-1.0
306,medianEntropy <= 2.72,0.2519,0.6492785793562708,1.0,1.0,1.0
307,medianEntropy <= 2.72,0.2414,0.6181299072091363,1.0,1.0,1.0
308,medianEntropy <= 2.72,0.2444,0.6408494690818238,1.0,1.0,1.0
310,medianEntropy <= 2.72,0.2507,0.6253746253746254,1.0,1.0,-1.0
314,medianEntropy > 2.78,0.2443,1.0,-1.0,-1.0,-1.0
315,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4847,0.6351515151515151,1.0,1.0,1.0
317,medianEntropy <= 2.72,0.2511,0.609564596716631,1.0,1.0,1.0
319,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.486,0.6464226289517471,1.0,1.0,1.0
320,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4969,0.6508264462809917,1.0,1.0,1.0
322,medianEntropy > 2.78,0.2421,1.0,-1.0,-1.0,-1.0
323,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4875,0.6496259351620948,1.0,1.0,1.0
324,meanEntropy > 2.75,0.5076,0.9376558603491272,-1.0,-1.0,-1.0
328,medianEntropy <= 2.72,0.2554,0.623069936421435,1.0,1.0,1.0
330,medianEntropy > 2.78,0.2504,1.0,-1.0,-1.0,-1.0
334,medianEntropy <= 2.72,0.2427,0.6155896069287142,1.0,1.0,1.0
336,medianEntropy > 2.78,0.2427,1.0,-1.0,-1.0,-1.0
338,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4883,0.679399727148704,1.0,1.0,1.0
342,medianEntropy > 2.75,0.5008,0.9601328903654485,-1.0,-1.0,-1.0
348,medianEntropy > 2.75,0.499,0.9751243781094527,-1.0,-1.0,-1.0
350,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4809,0.6484992101105845,1.0,1.0,1.0
354,medianEntropy > 2.75,0.4944,0.9351620947630923,-1.0,-1.0,-1.0
355,medianEntropy > 2.78,0.2495,1.0,-1.0,-1.0,-1.0
357,meanEntropy > 2.75,0.5066,0.9241516966067864,-1.0,-1.0,-1.0
359,iqrsEntropy > 0.04,0.2427,0.7721518987341772,-1.0,-1.0,1.0
365,medianEntropy > 2.75,0.4987,0.9667774086378738,-1.0,-1.0,-1.0
366,medianEntropy <= 2.72,0.2501,0.6049046321525886,1.0,1.0,1.0
367,medianEntropy <= 2.72,0.25,0.6120460584588131,1.0,1.0,-1.0
370,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4942,0.6137091607943626,1.0,1.0,-1.0
371,medianEntropy > 2.78,0.2489,1.0,-1.0,-1.0,-1.0
376,medianEntropy <= 2.72,0.2457,0.6345467523197716,1.0,1.0,-1.0
380,medianEntropy > 2.72,0.7455,0.7932542161149282,-1.0,-1.0,1.0
381,meanEntropy > 2.78,0.2509,1.0,-1.0,-1.0,-1.0
383,meanEntropy > 2.75,0.5009,0.936127744510978,-1.0,-1.0,-1.0
384,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4892,0.6325678496868476,1.0,1.0,1.0
385,medianEntropy > 2.72,0.7461,0.7684619655746807,-1.0,-1.0,1.0
386,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4923,0.6266055045871559,1.0,1.0,-1.0
388,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4896,0.6329787234042553,1.0,1.0,1.0
392,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4865,0.6325878594249201,1.0,1.0,1.0
393,meanEntropy <= 2.72,0.2537,0.6143790849673203,1.0,1.0,-1.0
394,medianEntropy > 2.78,0.2452,1.0,-1.0,-1.0,-1.0
396,medianEntropy > 2.72,0.7447,0.7705588368923216,-1.0,-1.0,1.0
398,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4838,0.6460554371002132,1.0,1.0,1.0
399,medianEntropy <= 2.72,0.2484,0.6366830639494027,1.0,1.0,1.0
401,medianEntropy > 2.75,0.501,0.940149625935162,-1.0,-1.0,1.0
402,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4855,0.6515555555555556,1.0,1.0,1.0
404,iqrsEntropy > 0.04,0.2524,0.7767729652546407,-1.0,-1.0,-1.0
407,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4925,0.6517189835575485,1.0,1.0,1.0
408,medianEntropy <= 2.72,0.2601,0.6318216756341276,1.0,1.0,-1.0
409,meanEntropy > 2.75,0.5,0.940149625935162,-1.0,-1.0,-1.0
411,medianEntropy > 2.78,0.2501,1.0,-1.0,-1.0,-1.0
412,medianEntropy > 2.75,0.5008,0.942643391521197,-1.0,-1.0,-1.0
414,meanEntropy > 2.75,0.4913,0.9284525790349417,-1.0,-1.0,-1.0
415,medianEntropy <= 2.72,0.2526,0.6210045662100456,1.0,1.0,-1.0
416,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4906,0.6133333333333333,1.0,1.0,1.0
420,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4857,0.6556907659269864,1.0,1.0,-1.0
423,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4884,0.6333687566418703,1.0,1.0,1.0
424,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4899,0.6413223140495867,1.0,1.0,1.0
425,medianEntropy <= 2.72,0.2519,0.6133866133866134,1.0,1.0,1.0
428,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4939,0.6638078902229846,1.0,1.0,1.0
430,medianEntropy > 2.78,0.2576,1.0,-1.0,-1.0,-1.0
435,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4819,0.6333333333333333,1.0,1.0,-1.0
438,medianEntropy > 2.75,0.4882,0.942643391521197,-1.0,-1.0,-1.0
439,meanEntropy > 2.72,0.7514,0.7601262493424513,-1.0,-1.0,-1.0
441,medianEntropy <= 2.72,0.2443,0.5941583397386626,1.0,1.0,1.0
442,medianEntropy <= 2.72,0.2484,0.628519527702089,1.0,1.0,1.0
446,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4908,0.6501687289088864,1.0,1.0,1.0
447,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4953,0.6189138576779026,1.0,1.0,1.0
448,medianEntropy <= 2.72,0.2499,0.6309127248501,1.0,1.0,-1.0
450,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.482,0.6256564141035259,1.0,1.0,1.0
451,meanEntropy > 2.75,0.4947,0.9501661129568106,-1.0,-1.0,1.0
452,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4914,0.6508921644685803,1.0,1.0,-1.0
453,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4938,0.6743119266055045,1.0,1.0,1.0
454,medianEntropy <= 2.72,0.2581,0.626977518734388,1.0,1.0,1.0
455,medianEntropy > 2.72,0.7472,0.770819453697535,-1.0,-1.0,1.0
456,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.493,0.6468619246861924,1.0,1.0,1.0
458,medianEntropy <= 2.72,0.2512,0.6355337078651685,1.0,1.0,1.0
463,medianEntropy > 2.75,0.4961,0.9401993355481728,-1.0,-1.0,1.0
464,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4805,0.6414634146341464,1.0,1.0,-1.0
