Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
2,medianEntropy > 2.72,0.7449,0.8451290591174022,-1.0,-1.0,1.0
4,medianEntropy <= 2.72,0.2474,0.5711906744379683,1.0,1.0,1.0
7,medianEntropy > 2.78,0.2495,1.0,-1.0,-1.0,-1.0
8,medianEntropy > 2.78,0.2484,1.0,-1.0,-1.0,-1.0
9,medianEntropy > 2.75,0.5037,0.9800995024875622,-1.0,-1.0,-1.0
10,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4849,0.5852384062704115,1.0,1.0,1.0
11,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4842,0.5777202072538861,1.0,1.0,1.0
12,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4859,0.5609271523178808,1.0,1.0,1.0
13,medianEntropy > 2.75,0.4955,0.9700996677740864,-1.0,-1.0,1.0
14,meanEntropy > 2.72,0.7506,0.8001665278934221,-1.0,-1.0,1.0
15,medianEntropy > 2.75,0.499,0.9800995024875622,-1.0,-1.0,-1.0
18,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.488,0.5813172043010753,1.0,1.0,1.0
21,medianEntropy > 2.75,0.4992,0.9568106312292359,-1.0,-1.0,-1.0
22,medianEntropy <= 2.72,0.2489,0.5573192239858906,1.0,1.0,1.0
26,medianEntropy > 2.75,0.504,0.9836734693877551,-1.0,-1.0,1.0
27,iqrsEntropy <= 0.03 AND meanEntropy <= 2.75,0.1124,0.693390452876377,1.0,1.0,1.0
29,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4837,0.5691244239631337,1.0,1.0,1.0
30,medianEntropy <= 2.72,0.2548,0.5449700199866756,1.0,1.0,1.0
36,medianEntropy <= 2.72,0.2549,0.5808903365906624,1.0,1.0,1.0
37,medianEntropy > 2.78,0.2524,1.0,-1.0,-1.0,-1.0
41,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4897,0.5792610250297974,1.0,1.0,1.0
42,medianEntropy <= 2.72,0.2492,0.5537052456286428,1.0,1.0,1.0
44,medianEntropy <= 2.72,0.2456,0.5538290788013318,1.0,1.0,-1.0
46,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4902,0.5731907894736842,1.0,1.0,1.0
51,medianEntropy > 2.78,0.2554,1.0,-1.0,-1.0,-1.0
56,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4894,0.5685522531160115,1.0,1.0,1.0
57,medianEntropy <= 2.72,0.2489,0.5719298245614035,1.0,1.0,-1.0
58,medianEntropy <= 2.72,0.2518,0.555921052631579,1.0,1.0,1.0
61,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4873,0.565546218487395,1.0,1.0,1.0
62,iqrsEntropy <= 0.03 AND medianEntropy <= 2.75,0.1211,0.6982248520710059,1.0,1.0,-1.0
66,medianEntropy > 2.78,0.2403,1.0,-1.0,-1.0,-1.0
67,medianEntropy > 2.78,0.2495,1.0,-1.0,-1.0,-1.0
69,medianEntropy > 2.78,0.2531,1.0,-1.0,-1.0,-1.0
72,medianEntropy <= 2.72,0.245,0.5462184873949579,1.0,1.0,-1.0
73,medianEntropy <= 2.72,0.2461,0.583868665239115,1.0,1.0,1.0
74,meanEntropy > 2.75,0.5041,0.9601328903654485,-1.0,-1.0,-1.0
75,medianEntropy > 2.78,0.2485,1.0,-1.0,-1.0,-1.0
76,medianEntropy > 2.75,0.5082,0.9667774086378738,-1.0,-1.0,-1.0
81,medianEntropy > 2.78,0.2522,1.0,-1.0,-1.0,-1.0
82,medianEntropy > 2.75,0.5005,0.9667774086378738,-1.0,-1.0,1.0
83,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4898,0.5747474747474748,1.0,1.0,-1.0
86,medianEntropy > 2.78,0.2466,1.0,-1.0,-1.0,-1.0
87,iqrsEntropy <= 0.03 AND meanEntropy <= 2.75,0.1124,0.7032122905027933,1.0,1.0,1.0
88,medianEntropy > 2.75,0.4959,0.9568106312292359,-1.0,-1.0,-1.0
93,medianEntropy > 2.75,0.4958,0.9568106312292359,-1.0,-1.0,-1.0
94,medianEntropy <= 2.72,0.2527,0.559533721898418,1.0,1.0,1.0
95,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4912,0.5758957654723127,1.0,1.0,1.0
97,medianEntropy > 2.78,0.2483,1.0,-1.0,-1.0,-1.0
99,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4857,0.5582010582010583,1.0,1.0,-1.0
101,medianEntropy > 2.78,0.2457,1.0,-1.0,-1.0,-1.0
103,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4855,0.5635658914728682,1.0,1.0,1.0
105,medianEntropy > 2.75,0.506,0.9900497512437811,-1.0,-1.0,-1.0
107,medianEntropy <= 2.72,0.2538,0.5522984676882079,1.0,1.0,1.0
108,medianEntropy <= 2.72,0.2468,0.5588009223674096,1.0,1.0,1.0
111,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4971,0.5697609783212896,1.0,1.0,1.0
112,medianEntropy <= 2.72,0.2491,0.575353871773522,1.0,1.0,-1.0
113,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4872,0.5610766045548654,1.0,1.0,1.0
114,medianEntropy > 2.78,0.2372,1.0,-1.0,-1.0,-1.0
115,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4842,0.5686988171064604,1.0,1.0,1.0
116,medianEntropy > 2.75,0.5035,0.942643391521197,-1.0,-1.0,-1.0
117,iqrsEntropy > 0.04,0.2552,0.7988757026858213,-1.0,-1.0,-1.0
119,meanEntropy > 2.75,0.5019,0.9701492537313433,-1.0,-1.0,-1.0
122,medianEntropy > 2.72,0.7552,0.8039969254419678,-1.0,-1.0,1.0
124,medianEntropy > 2.78,0.2439,1.0,-1.0,-1.0,-1.0
125,meanEntropy <= 2.72,0.2536,0.5485008818342152,1.0,1.0,1.0
127,medianEntropy <= 2.72,0.2524,0.5709969788519638,1.0,1.0,1.0
128,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4942,0.5749097472924187,1.0,1.0,1.0
130,medianEntropy > 2.75,0.5075,0.9800995024875622,-1.0,-1.0,-1.0
131,iqrsEntropy <= 0.03 AND medianEntropy <= 2.75,0.121,0.7094017094017094,1.0,1.0,1.0
134,medianEntropy <= 2.72,0.2562,0.5405105438401776,1.0,1.0,1.0
135,medianEntropy <= 2.75 AND meanEntropy <= 2.75,0.4869,0.5695600475624257,1.0,1.0,1.0
137,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4926,0.608739837398374,1.0,1.0,1.0
138,medianEntropy <= 2.72,0.256,0.5630461922596754,1.0,1.0,1.0
139,medianEntropy <= 2.72,0.2465,0.570727718724448,1.0,1.0,-1.0
145,medianEntropy <= 2.72,0.2502,0.5590682196339434,1.0,1.0,-1.0
146,medianEntropy > 2.75,0.4968,0.9601328903654485,-1.0,-1.0,-1.0
147,medianEntropy > 2.72,0.7482,0.815622161671208,-1.0,-1.0,1.0
148,meanEntropy > 2.72,0.7586,0.8168193172356369,-1.0,-1.0,-1.0
151,medianEntropy > 2.78,0.2515,1.0,-1.0,-1.0,-1.0
152,medianEntropy > 2.75,0.5036,0.9634551495016611,-1.0,-1.0,-1.0
153,meanEntropy <= 2.75 AND medianEntropy <= 2.75,0.4902,0.5970488081725313,1.0,1.0,1.0
156,meanEntropy > 2.75,0.4965,0.9667774086378738,-1.0,-1.0,-1.0
159,iqrsEntropy > 0.04,0.2523,0.8232129131437356,-1.0,-1.0,-1.0
