Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
0,y > 5.00,0.4984,0.8459343794579173,-1.0,-1.0,-1.0
1,y <= 8.02,0.7518,0.578110383536015,1.0,1.0,1.0
2,x <= 2.47,0.2554,0.8428927680798005,-1.0,-1.0,-1.0
3,y <= 5.00,0.4987,0.5597210113339146,1.0,1.0,1.0
4,y > 5.00,0.5082,0.8442622950819673,-1.0,-1.0,-1.0
5,x <= 2.47,0.2478,0.8204488778054863,-1.0,-1.0,1.0
6,y <= 8.02,0.7541,0.5722070844686649,1.0,1.0,1.0
7,y <= 8.02,0.7557,0.5620316402997502,1.0,1.0,1.0
8,y <= 8.02,0.7467,0.5656229180546303,1.0,1.0,1.0
9,y > 8.02,0.2505,0.9800995024875622,-1.0,-1.0,-1.0
10,y <= 8.02,0.7554,0.5693877551020409,1.0,1.0,1.0
11,y <= 8.02,0.7473,0.5505107832009081,1.0,1.0,1.0
12,y > 8.02,0.2389,0.9800995024875622,-1.0,-1.0,-1.0
13,y <= 8.02,0.7531,0.5702685821361649,1.0,1.0,1.0
14,y > 8.02,0.2516,1.0,-1.0,-1.0,-1.0
15,y > 8.02,0.252,0.9801980198019802,-1.0,-1.0,-1.0
16,y <= 8.02,0.7512,0.5594913714804723,1.0,1.0,1.0
17,y <= 8.02,0.7532,0.5524475524475524,1.0,1.0,1.0
18,y <= 8.02,0.7487,0.5693673695893452,1.0,1.0,1.0
19,x <= 2.47,0.2471,0.8414481897627965,-1.0,-1.0,-1.0
20,x <= 2.47,0.2447,0.8069883527454242,-1.0,-1.0,-1.0
21,y > 8.02,0.2564,0.9751243781094527,-1.0,-1.0,-1.0
22,y > 8.02,0.2517,0.9751243781094527,-1.0,-1.0,-1.0
23,y > 5.00,0.4962,0.8669354838709677,-1.0,-1.0,-1.0
24,y <= 8.02,0.7469,0.5754838709677419,1.0,1.0,1.0
25,y <= 8.02,0.7553,0.5790540540540541,1.0,1.0,1.0
26,y <= 8.02,0.75,0.5490956072351422,1.0,1.0,1.0
27,y > 8.02,0.2465,0.9900990099009901,-1.0,-1.0,-1.0
28,y <= 5.00,0.5071,0.5742971887550201,1.0,1.0,1.0
29,x <= 2.47,0.2529,0.8329177057356608,-1.0,-1.0,-1.0
30,y <= 8.02,0.7498,0.571103526734926,1.0,1.0,1.0
31,y <= 8.02,0.7524,0.5540417801998183,1.0,1.0,1.0
32,y <= 8.02,0.758,0.5811384876805438,1.0,1.0,1.0
33,y > 8.02,0.2543,0.9751243781094527,-1.0,-1.0,-1.0
34,y <= 5.00,0.5042,0.5648,1.0,1.0,1.0
35,y > 8.02,0.2552,0.9800995024875622,-1.0,-1.0,-1.0
36,x <= 2.47,0.2449,0.8402662229617305,-1.0,-1.0,1.0
37,y > 5.00,0.5016,0.8389830508474576,-1.0,-1.0,-1.0
38,y > 8.02,0.2532,0.9651741293532339,-1.0,-1.0,-1.0
39,x <= 2.47,0.2566,0.8345221112696148,-1.0,-1.0,-1.0
40,y <= 8.02,0.762,0.5286697247706422,1.0,1.0,1.0
41,y > 8.02,0.2538,0.9900990099009901,-1.0,-1.0,-1.0
42,x > 7.65 AND y > 5.00,0.2128,0.5175097276264592,1.0,1.0,1.0
43,x <= 2.47,0.2512,0.8289637952559301,-1.0,-1.0,-1.0
44,y > 8.02,0.2569,0.9634703196347032,-1.0,-1.0,-1.0
45,y > 8.02,0.2568,0.9900990099009901,-1.0,-1.0,1.0
46,y <= 8.02,0.7573,0.5557404326123128,1.0,1.0,1.0
47,y <= 8.02,0.7531,0.5682574916759157,1.0,1.0,1.0
48,y > 5.00,0.5038,0.8502495840266223,-1.0,-1.0,-1.0
49,y > 8.02,0.246,0.9634551495016611,-1.0,-1.0,-1.0
50,y > 5.00,0.5012,0.8452579034941764,-1.0,-1.0,-1.0
51,y > 2.17,0.7446,0.7443796835970025,-1.0,-1.0,-1.0
52,y <= 5.00,0.4982,0.5585185185185185,1.0,1.0,1.0
53,y > 5.00,0.4971,0.8702594810379242,-1.0,-1.0,-1.0
54,y > 5.00,0.5005,0.8385269121813032,-1.0,-1.0,-1.0
55,y > 8.02,0.2659,0.9701492537313433,-1.0,-1.0,-1.0
56,y <= 8.02,0.7474,0.5564435564435565,1.0,1.0,1.0
57,y <= 8.02,0.7509,0.5706967213114754,1.0,1.0,1.0
58,y <= 8.02,0.7556,0.5930087390761548,1.0,1.0,1.0
59,y > 8.02,0.2445,0.9846153846153847,-1.0,-1.0,-1.0
60,y > 8.02,0.2524,0.9752066115702479,-1.0,-1.0,-1.0
61,y > 8.02,0.2503,0.9701492537313433,-1.0,-1.0,-1.0
62,y > 8.02,0.2465,0.9733333333333334,-1.0,-1.0,-1.0
63,y > 8.02,0.2519,0.9800995024875622,-1.0,-1.0,-1.0
64,x <= 2.47,0.2524,0.8421052631578947,-1.0,-1.0,-1.0
