Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
0,y > 2.17,0.7495,0.5650337837837838,-1.0,-1.0,-1.0
1,y <= 2.17,0.2533,0.991869918699187,1.0,1.0,1.0
2,x <= 5.12 AND y <= 8.02,0.4783,0.5229826353421859,-1.0,-1.0,-1.0
3,y <= 2.17,0.2488,0.9651741293532339,1.0,1.0,1.0
4,y > 2.17,0.753,0.6107784431137725,-1.0,-1.0,-1.0
5,y <= 2.17,0.2515,0.9682539682539683,1.0,1.0,1.0
6,y <= 2.17,0.2492,0.9751243781094527,1.0,1.0,1.0
7,y <= 2.17,0.2473,0.9800995024875622,1.0,1.0,1.0
8,y <= 2.17,0.2457,0.9836065573770492,1.0,1.0,1.0
9,y > 5.00,0.5101,0.55564451561249,-1.0,-1.0,-1.0
10,y <= 2.17,0.2447,0.9772727272727273,1.0,1.0,1.0
11,x > 7.65,0.2496,0.8323353293413174,1.0,1.0,1.0
12,y > 2.17,0.7444,0.5723076923076923,-1.0,-1.0,-1.0
13,y <= 2.17,0.2489,0.992,1.0,1.0,1.0
14,y > 2.17,0.7548,0.5865979381443299,-1.0,-1.0,-1.0
15,y > 2.17,0.7516,0.5578059071729958,-1.0,-1.0,-1.0
16,y <= 2.17,0.24,0.9758064516129032,1.0,1.0,1.0
17,x > 7.65,0.2538,0.8192488262910798,1.0,1.0,1.0
18,x > 7.65,0.2538,0.822429906542056,1.0,1.0,1.0
19,y > 2.17,0.7432,0.5551724137931034,-1.0,-1.0,-1.0
20,y <= 5.00,0.5038,0.8882235528942116,1.0,1.0,-1.0
21,y > 2.17,0.7523,0.5404178019981835,-1.0,-1.0,-1.0
22,y > 2.17,0.7474,0.5563335455124124,-1.0,-1.0,-1.0
23,y > 2.17,0.7474,0.5537052456286428,-1.0,-1.0,-1.0
24,y <= 8.02,0.7499,0.7749712973593571,1.0,1.0,1.0
25,y <= 5.00,0.494,0.8678304239401496,1.0,1.0,1.0
26,x > 7.65,0.2524,0.821969696969697,1.0,1.0,1.0
27,y > 2.17,0.7475,0.5622866894197952,-1.0,-1.0,-1.0
28,y <= 2.17,0.251,0.983739837398374,1.0,1.0,1.0
29,y > 2.17,0.7436,0.5449500554938956,-1.0,-1.0,-1.0
30,x > 7.65,0.2497,0.8383233532934131,1.0,1.0,1.0
31,y <= 2.17,0.2569,0.9534883720930233,1.0,1.0,1.0
32,y <= 2.17,0.2507,0.9666666666666667,1.0,1.0,1.0
33,y > 2.17,0.7432,0.5672698662470496,-1.0,-1.0,-1.0
34,y <= 2.17,0.2451,0.9705882352941176,1.0,1.0,1.0
35,y > 2.17,0.752,0.5644067796610169,-1.0,-1.0,-1.0
36,y <= 2.17,0.254,0.9682539682539683,1.0,1.0,1.0
37,y > 5.00,0.4907,0.5603382013835511,-1.0,-1.0,-1.0
38,y > 2.17,0.7527,0.5873340143003064,-1.0,-1.0,-1.0
